"Source","SourcePath","RelativePath","DestPath"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\AgentHttpClient.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\AgentHttpClient.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\AgentHttpClient.tsx"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\DeploymentHistory.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\DeploymentHistory.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\DeploymentHistory.tsx"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\HostingMetrics.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\HostingMetrics.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\HostingMetrics.tsx"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\LoadingSkeleton.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\LoadingSkeleton.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\LoadingSkeleton.tsx"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\page.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\page.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\page.tsx"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\page.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\page.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\page.tsx"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\RepoDropdown.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\RepoDropdown.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\RepoDropdown.tsx"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\SecretsManager.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\SecretsManager.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\SecretsManager.tsx"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\Skeletons.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\Skeletons.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\Skeletons.tsx"
"frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\logs\[sessionId]\route.ts","react_components\agentops_dashboard\logs\[sessionId]\route.ts","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\logs\[sessionId]\route.ts"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\AgentHttpClient.tsx","external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\AgentHttpClient.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\AgentHttpClient.tsx"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\DeploymentHistory.tsx","external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\DeploymentHistory.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\DeploymentHistory.tsx"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\HostingMetrics.tsx","external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\HostingMetrics.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\HostingMetrics.tsx"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\LoadingSkeleton.tsx","external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\LoadingSkeleton.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\LoadingSkeleton.tsx"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\page.tsx","external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\page.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\page.tsx"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\page.tsx","external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\page.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\page.tsx"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\RepoDropdown.tsx","external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\RepoDropdown.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\RepoDropdown.tsx"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\SecretsManager.tsx","external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\SecretsManager.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\SecretsManager.tsx"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\Skeletons.tsx","external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\Skeletons.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\(with-layout)\deploy\[proj_id]\setup\Skeletons.tsx"
"frontend_unified","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_unified\external_ui\agentops\dashboard\app\logs\[sessionId]\route.ts","external_ui\agentops\dashboard\app\logs\[sessionId]\route.ts","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\external_ui\agentops\dashboard\app\logs\[sessionId]\route.ts"
